날짜,종목명,종목코드,lag_return_1,lag_return_2,lag_return_3,ma5_ma20_ratio,ma10_ma60_ratio,vol_change,vol_ma5_ratio,high_low_range,volatility_5,rsi_14,원달러환율,CD91일금리,국고채3년금리,회사채3년AA금리,usd_krw_change,cd_rate_change,credit_spread,debt_ratio,roe,operating_margin,revenue_growth,target
2022-08-05,DB하이텍,990,0.6880733944954129,-0.5701254275940707,-2.011173184357542,0.00022701475595909848,-0.20509176850702293,0.32772714298897143,1.149409805463201,0.02733485193621868,1.1175430373220083,52.08333333333334,1309.7,2.74,3.079,4.056,-0.0006104540251812285,0.0,0.9769999999999999,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-08,DB하이텍,990,0.683371298405467,0.6880733944954129,-0.5701254275940707,0.0006276747503566327,-0.20036166365280295,-0.20834673541462945,0.9132898266482734,0.021493212669683258,1.1889150779039312,42.42424242424243,1299.3,2.75,3.134,4.113,-0.007940749790028345,0.009999999999999787,0.9790000000000005,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-09,DB하이텍,990,-1.244343891402715,0.683371298405467,0.6880733944954129,-0.005577689243027928,-0.19651238740449317,0.0019580059781454384,0.8866111585061144,0.024054982817869417,1.0053096033361442,39.99999999999999,1304.8,2.75,3.134,4.119,0.004233048564611819,0.0,0.9849999999999999,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-10,DB하이텍,990,-1.3745704467353952,-1.244343891402715,0.683371298405467,-0.014166239972691619,-0.19384455037322013,0.3271264185123375,1.1987610359500571,0.020905923344947737,1.529942483181609,24.786324786324784,1305.1,2.76,3.154,4.133,0.00022992029429791394,0.009999999999999787,0.9790000000000001,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-11,DB하이텍,990,-2.9036004645760745,-1.3745704467353952,-1.244343891402715,-0.019460566746329788,-0.18977865086853618,-0.22225685498358616,0.9186142123896951,0.017942583732057416,1.9703207451309195,37.301587301587304,1309.1,2.76,3.124,4.111,0.003064899241437491,0.0,0.9869999999999997,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-12,DB하이텍,990,2.15311004784689,-2.9036004645760745,-1.3745704467353952,-0.018627896410722378,-0.18271647336132746,3.6478627990215724,2.6201620442505456,0.06206088992974239,3.1706470516955605,52.976190476190474,1302.5,2.76,3.181,4.159,-0.0050416316553356655,0.0,0.9779999999999998,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-16,DB하이텍,990,4.918032786885246,2.15311004784689,-2.9036004645760745,-0.010711249645791954,-0.17349541775580257,-0.42061056770087346,1.2707984975928168,0.06138392857142857,3.136847564862372,57.52688172043011,1303.1,2.76,3.078,4.057,0.00046065259117078483,0.0,0.9790000000000005,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-17,DB하이텍,990,2.34375,4.918032786885246,2.15311004784689,-0.0016985618842713102,-0.16340700020654264,-0.5736702349934533,0.5327668126210574,0.023991275899672846,3.1243356164391956,54.87179487179487,1309.6,2.76,3.087,4.076,0.0049881052873916865,0.0,0.9889999999999994,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-18,DB하이텍,990,-1.3086150490730644,2.34375,4.918032786885246,0.013622746029054333,-0.15196895844022584,0.13911578078517017,0.6056455236100543,0.03867403314917127,2.2960904470939583,55.32994923857867,1309.8,2.76,3.125,4.114,0.00015271838729380427,0.0,0.9889999999999999,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-19,DB하이텍,990,0.6629834254143646,-1.3086150490730644,2.34375,0.02440677966101701,-0.14270476436744461,-0.21165104237428856,0.4760933191260011,0.021953896816684963,2.5290006917092653,51.03092783505155,1317.3,2.76,3.197,4.186,0.005726065048099027,0.0,0.9889999999999999,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-22,DB하이텍,990,-0.7683863885839737,0.6629834254143646,-1.3086150490730644,0.021642086229304303,-0.13552277727976525,-0.18169145159375444,0.6006100800378686,0.025442477876106196,1.819596665891419,47.14285714285714,1326.7,2.76,3.245,4.235,0.00713580809231007,0.0,0.9900000000000002,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-23,DB하이텍,990,-2.3230088495575223,-0.7683863885839737,0.6629834254143646,0.011257566329128332,-0.12879522627521245,-0.09517903693060825,0.7492996656067988,0.028312570781426953,1.1654535027790247,47.368421052631575,1338.2,2.76,3.281,4.27,0.008668123916484527,0.0,0.9889999999999994,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-24,DB하이텍,990,-1.9252548131370328,-2.3230088495575223,-0.7683863885839737,0.003908241291418868,-0.12067250298448073,-0.14315898910693414,0.7109785109651203,0.02424942263279446,1.2800213569023688,48.78048780487806,1341.8,2.76,3.311,4.298,0.0026901808399342197,0.0,0.9870000000000001,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-25,DB하이텍,990,0.115473441108545,-1.9252548131370328,-2.3230088495575223,-0.0003963086678366867,-0.1074438202247191,0.49430900689076496,1.1446324919669681,0.04844290657439446,2.1659998403118284,53.53982300884957,1341.4,2.92,3.531,4.507,-0.000298107020420213,0.16000000000000014,0.9759999999999995,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-26,DB하이텍,990,3.1141868512110724,0.115473441108545,-1.9252548131370328,0.0032197932553803543,-0.09308671922377199,1.718797214210114,2.253574490028261,0.03355704697986577,2.881841926258753,58.98437500000001,1336.9,2.92,3.525,4.499,-0.0033547040405546014,0.0,0.9739999999999998,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-08-29,DB하이텍,990,4.026845637583892,3.1141868512110724,0.115473441108545,0.0016411068983079868,-0.08817533129459731,-0.05908770438763389,1.655295892379673,0.03870967741935484,4.293057280381733,49.185667752443,1332.5,2.92,3.653,4.621,-0.0032911960505648263,0.0,0.9680000000000004,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-30,DB하이텍,990,-6.666666666666667,4.026845637583892,3.1141868512110724,0.0134448084962151,-0.080477869441687,0.028817235544599695,1.373910384495748,0.07373271889400922,5.109914576717985,59.20679886685552,1347.7,2.92,3.642,4.618,0.011407129455909937,0.0,0.9760000000000004,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-08-31,DB하이텍,990,6.682027649769585,-6.666666666666667,4.026845637583892,0.024612785130949,-0.07158613083339072,-0.4466360602795404,0.7025342565724078,0.03455723542116631,5.091108411488338,64.1566265060241,1347.5,2.92,3.685,4.658,-0.00014840097944646136,0.0,0.9730000000000003,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-09-01,DB하이텍,990,0.4319654427645789,6.682027649769585,-6.666666666666667,0.02284235400022494,-0.06672222511589143,-0.031439702315157025,0.6545195327166045,0.03225806451612903,5.546758423502339,55.240793201133144,1345.1,2.92,3.778,4.747,-0.0017810760667904546,0.0,0.9689999999999999,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-09-02,DB하이텍,990,-4.193548387096775,0.4319654427645789,6.682027649769585,0.010467079347214359,-0.06268698497121972,-0.2395161821519498,0.5874947261946455,0.03254769921436588,5.101782779921595,46.646341463414636,1351.4,2.93,3.678,4.655,0.0046836666418854644,0.010000000000000231,0.9770000000000003,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-09-05,DB하이텍,990,-1.9079685746352413,-4.193548387096775,0.4319654427645789,0.01255559934688355,-0.05671084167489071,0.2422400596505696,0.8429679648024507,0.04919908466819222,4.056519245402356,43.18181818181818,1356.5,2.93,3.616,4.596,0.00377386414089087,0.0,0.98,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-09-06,DB하이텍,990,0.11441647597254,-1.9079685746352413,-4.193548387096775,-0.0020850943927867016,-0.051258849204236956,0.10228648947699481,1.08949353385315,0.029714285714285714,1.8753905726103475,42.35668789808917,1369.7,2.93,3.682,4.662,0.009730925175083005,0.0,0.98,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,0
2022-09-07,DB하이텍,990,-2.057142857142857,0.11441647597254,-1.9079685746352413,-0.023602484472049712,-0.0487033296992011,-0.09873382213006099,1.0016125413909056,0.03617269544924154,1.685050623529793,37.46312684365782,1370.3,2.93,3.685,4.668,0.0004380521282032479,0.0,0.9830000000000001,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
2022-09-08,DB하이텍,990,-3.6172695449241536,-2.057142857142857,0.11441647597254,-0.03653922177669844,-0.049075340001439205,-0.018130193187331556,1.0002113747596777,0.020581113801452784,1.7973503473275951,39.52802359882006,1385.3,2.93,3.543,4.541,0.010946508063927718,0.0,0.9980000000000002,0.4013275238730898,0.28650778556856343,0.3285689300588611,0.29784847342335263,1
