날짜,CD91일금리,항목명,단위
2016-10-20,1.34,CD(91일),연%
2016-10-21,1.36,CD(91일),연%
2016-10-24,1.37,CD(91일),연%
2016-10-25,1.38,CD(91일),연%
2016-10-26,1.39,CD(91일),연%
2016-10-27,1.39,CD(91일),연%
2016-10-28,1.39,CD(91일),연%
2016-10-31,1.39,CD(91일),연%
2016-11-01,1.39,CD(91일),연%
2016-11-02,1.39,CD(91일),연%
2016-11-03,1.39,CD(91일),연%
2016-11-04,1.39,CD(91일),연%
2016-11-07,1.39,CD(91일),연%
2016-11-08,1.39,CD(91일),연%
2016-11-09,1.39,CD(91일),연%
2016-11-10,1.39,CD(91일),연%
2016-11-11,1.39,CD(91일),연%
2016-11-14,1.39,CD(91일),연%
2016-11-15,1.39,CD(91일),연%
2016-11-16,1.39,CD(91일),연%
2016-11-17,1.4,CD(91일),연%
2016-11-18,1.4,CD(91일),연%
2016-11-21,1.41,CD(91일),연%
2016-11-22,1.42,CD(91일),연%
2016-11-23,1.43,CD(91일),연%
2016-11-24,1.46,CD(91일),연%
2016-11-25,1.48,CD(91일),연%
2016-11-28,1.49,CD(91일),연%
2016-11-29,1.52,CD(91일),연%
2016-11-30,1.52,CD(91일),연%
2016-12-01,1.53,CD(91일),연%
2016-12-02,1.54,CD(91일),연%
2016-12-05,1.54,CD(91일),연%
2016-12-06,1.54,CD(91일),연%
2016-12-07,1.54,CD(91일),연%
2016-12-08,1.54,CD(91일),연%
2016-12-09,1.54,CD(91일),연%
2016-12-12,1.54,CD(91일),연%
2016-12-13,1.54,CD(91일),연%
2016-12-14,1.54,CD(91일),연%
2016-12-15,1.54,CD(91일),연%
2016-12-16,1.54,CD(91일),연%
2016-12-19,1.54,CD(91일),연%
2016-12-20,1.54,CD(91일),연%
2016-12-21,1.54,CD(91일),연%
2016-12-22,1.54,CD(91일),연%
2016-12-23,1.54,CD(91일),연%
2016-12-26,1.54,CD(91일),연%
2016-12-27,1.54,CD(91일),연%
2016-12-28,1.53,CD(91일),연%
2016-12-29,1.52,CD(91일),연%
2016-12-30,1.52,CD(91일),연%
2017-01-02,1.52,CD(91일),연%
2017-01-03,1.52,CD(91일),연%
2017-01-04,1.51,CD(91일),연%
2017-01-05,1.51,CD(91일),연%
2017-01-06,1.49,CD(91일),연%
2017-01-09,1.49,CD(91일),연%
2017-01-10,1.49,CD(91일),연%
2017-01-11,1.49,CD(91일),연%
2017-01-12,1.49,CD(91일),연%
2017-01-13,1.49,CD(91일),연%
2017-01-16,1.49,CD(91일),연%
2017-01-17,1.49,CD(91일),연%
2017-01-18,1.49,CD(91일),연%
